,dataset,model,layer,roi,subject,rsa,cka,pearson_r,pearson_r_nc,explained_variance,ev_nc,enc_rsa,enc_cka
122,EEG2,MODEL_A,layer1-0,occipital_parietal,sub-03,0.0467963475120669,0.1415511994569183,0.16213834,1.41398114,0.03616455,-522988.62699702,0.243664,0.23460672
123,EEG2,MODEL_A,layer1-0,occipital_parietal,sub-04,0.0595581495585814,0.0158295404666283,0.08008999,-21.60024451,-0.00076246,-279867.12683012,0.03668922,0.01299874
124,EEG2,MODEL_A,layer1-0,occipital_parietal,sub-05,0.15157042764189,0.1778737042764423,0.1600964,-101.05710267,0.04061611,-1540586.25746952,0.35267243,0.35199749
125,EEG2,MODEL_A,layer1-0,occipital_parietal,sub-06,0.0375277391658682,0.1366161768046674,0.20034685,-13.08767687,0.05573194,-450535.37283215,0.27526746,0.23998464
126,EEG2,MODEL_A,layer1-0,occipital_parietal,sub-07,0.0719512273338396,0.1388477852526943,0.18499594,61.47352379,0.04375074,-452309.27082975,0.26688031,0.30659066
127,EEG2,MODEL_A,layer1-0,occipital_parietal,sub-08,0.0919537131314356,0.12275162405053,0.13541642,-10.53672891,0.00360345,-723229.60062064,0.2003166,0.17612986
128,EEG2,MODEL_A,layer1-0,occipital_parietal,sub-09,0.0754762799403925,0.0471475810123974,0.13827677,52.79997371,0.02323765,-330802.89191964,0.09958452,0.07435162
129,EEG2,MODEL_A,layer1-0,occipital_parietal,sub-10,0.0112219012320403,0.1347649881103851,0.22760628,20.32131389,0.06444992,-326433.0242681,0.25373922,0.21401414
130,EEG2,MODEL_A,layer2-0,occipital_parietal,sub-01,0.0604891007909085,0.0039039156710767,0.10856909,-71.16581627,-0.00657069,-2405558.0047364,0.05440717,0.01299355
131,EEG2,MODEL_A,layer2-0,occipital_parietal,sub-02,0.1066082966923586,0.0709757418136936,0.14312594,28.10519854,0.01505939,-379183.58445151,0.14565857,0.09123121
132,EEG2,MODEL_A,layer2-0,occipital_parietal,sub-03,0.0989280386514613,0.1580112982859449,0.16324351,-2.97004396,0.02659479,-905144.15411139,0.27133989,0.2437479
133,EEG2,MODEL_A,layer2-0,occipital_parietal,sub-04,0.0932640543852002,0.0172649704172806,0.12763058,-24.96711759,0.00159752,-872792.37897555,-0.00469203,0.02959864
134,EEG2,MODEL_A,layer2-0,occipital_parietal,sub-05,0.1734618850957765,0.2132252676231427,0.19904541,124.7491045,0.0475299,-1307305.56815055,0.36770422,0.36841456
135,EEG2,MODEL_A,layer2-0,occipital_parietal,sub-06,0.1093495611894548,0.1767535659248622,0.14348887,-22.14122433,0.01547626,-883007.06401468,0.30739838,0.25005487
136,EEG2,MODEL_A,layer2-0,occipital_parietal,sub-07,0.1152067870313684,0.1745395998427797,0.17100886,24.24360825,0.02852424,-990801.73759978,0.27454871,0.29114951
137,EEG2,MODEL_A,layer2-0,occipital_parietal,sub-08,0.1267021865639113,0.1386643004407466,0.1606225,9.10876192,0.00606526,-625147.79138784,0.2060392,0.18896687
138,EEG2,MODEL_A,layer2-0,occipital_parietal,sub-09,0.1153595217220993,0.0573058589605787,0.12888842,76.75785606,-0.00298508,-877050.36498223,0.11337423,0.06198531
139,EEG2,MODEL_A,layer2-0,occipital_parietal,sub-10,0.0927041906597218,0.1515088874910374,0.23474342,92.96297172,0.05667376,-272991.31776822,0.27043585,0.21049173
140,EEG2,MODEL_A,layer3-0,occipital_parietal,sub-01,0.075998226802349,0.0030378390737523,0.16624993,49.00015361,0.0311447,-1213860.39964737,0.05763033,0.01258882
141,EEG2,MODEL_A,layer3-0,occipital_parietal,sub-02,0.140058881730078,0.0866982774469642,0.13916072,24.36239566,-0.03889086,-1174247.69511932,0.20598179,0.11265048
142,EEG2,MODEL_A,layer3-0,occipital_parietal,sub-03,0.1571117423437639,0.1696784352191968,0.21185895,-56.85318643,0.00023762,-2265002.86494747,0.38494629,0.28537392
143,EEG2,MODEL_A,layer3-0,occipital_parietal,sub-04,0.071166834831238,0.0258098348972854,0.14386548,-29.98023498,0.00879064,-826405.04799132,-0.01915023,0.03041917
144,EEG2,MODEL_A,layer3-0,occipital_parietal,sub-05,0.2097008962507859,0.2408495270641124,0.22929069,45.50633033,0.00959016,-5164661.50092221,0.40986283,0.39472821
145,EEG2,MODEL_A,layer3-0,occipital_parietal,sub-06,0.1995808720098128,0.1998051946658453,0.29094423,60.84229306,0.0653971,-1086778.31468625,0.40467707,0.34262569
146,EEG2,MODEL_A,layer3-0,occipital_parietal,sub-07,0.1871401355353937,0.2352985601431968,0.24769791,142.55080967,0.04510071,-2026450.40104628,0.46089161,0.48142215
147,EEG2,MODEL_A,layer3-0,occipital_parietal,sub-08,0.1791219085895026,0.1626088176196664,0.21521955,27.48597005,-0.03402475,-1786911.03815177,0.29711341,0.23424325
148,EEG2,MODEL_A,layer3-0,occipital_parietal,sub-09,0.1654948843910657,0.0833840508827657,0.18915551,86.65296357,-0.00922189,-2095310.0180021,0.24860609,0.11758003
149,EEG2,MODEL_A,layer3-0,occipital_parietal,sub-10,0.1638111606571838,0.1885696968001378,0.31413514,95.949537,0.08337059,-1152252.29918725,0.40612351,0.291811
150,EEG2,MODEL_A,layer3-5,occipital_parietal,sub-01,0.0549237371211226,-0.0031326927450859,0.17997516,55.51897038,0.04367623,-629308.08450053,0.06773482,0.01441341
151,EEG2,MODEL_A,layer3-5,occipital_parietal,sub-02,0.0995947997950329,0.0775696000217528,0.12960857,17.12033331,0.01655863,-180861.41945569,0.17564827,0.09014555
152,EEG2,MODEL_A,layer3-5,occipital_parietal,sub-03,0.0955229156069108,0.1425062221096494,0.24769094,-16.10880168,0.04131226,-1758384.53871335,0.38057063,0.30281501
153,EEG2,MODEL_A,layer3-5,occipital_parietal,sub-04,0.0782199053158999,0.0242983596726291,0.16877601,-10.56676741,0.02237438,-564447.32339691,0.00735586,0.02940451
154,EEG2,MODEL_A,layer3-5,occipital_parietal,sub-05,0.169370733131641,0.1959634919391751,0.23308947,68.33103191,0.03404194,-4087199.11347804,0.40977262,0.41072199
155,EEG2,MODEL_A,layer3-5,occipital_parietal,sub-06,0.1146826367196433,0.1755910925501086,0.28512405,52.09880383,0.07585613,-982375.6163522,0.4000367,0.34090233
156,EEG2,MODEL_A,layer3-5,occipital_parietal,sub-07,0.1533345208539803,0.2075283135227232,0.22014662,104.93753559,0.0545434,-277760.37863823,0.35021503,0.42345634
157,EEG2,MODEL_A,layer3-5,occipital_parietal,sub-08,0.1113482904108978,0.1492928817694146,0.22342402,8.20535133,-0.00198015,-1439511.13402533,0.28533109,0.27077914
