model,layer,dataset,subject,roi,pearson_r,pearson_r_nc,explained_variance,ev_nc,rsa,cka
MODEL_A,layer3-5,EEG2,sub-04,occipital_parietal,0.16877601,-10.56676741,0.02237438,-564447.32339691,0.07821991,0.02429836
MODEL_A,layer3-5,EEG2,sub-05,occipital_parietal,0.23308947,68.33103191,0.03404194,-4087199.11347804,0.16937073,0.19596349
MODEL_A,layer3-5,EEG2,sub-06,occipital_parietal,0.28512405,52.09880383,0.07585613,-982375.6163522,0.11468264,0.17559109
MODEL_A,layer3-5,EEG2,sub-07,occipital_parietal,0.22014662,104.93753559,0.0545434,-277760.37863823,0.15333452,0.20752831
MODEL_A,layer3-5,EEG2,sub-08,occipital_parietal,0.22342402,8.20535133,-0.00198015,-1439511.13402533,0.11134829,0.14929288
MODEL_A,layer3-5,EEG2,sub-09,occipital_parietal,0.15852473,70.83393965,0.02834291,-230457.31815774,0.15619191,0.08538002
MODEL_A,layer3-5,EEG2,sub-10,occipital_parietal,0.26724139,47.35654221,0.07633327,-262742.51026189,0.10958369,0.17373644
MODEL_A,layer3-10,EEG2,sub-01,occipital_parietal,0.1591654,-8.06475284,0.03232976,-1089663.2796598,0.05078326,-0.0004522
MODEL_A,layer3-10,EEG2,sub-02,occipital_parietal,0.11490867,10.16732658,0.00785322,-283986.23075127,0.09567246,0.07093195
MODEL_A,layer3-10,EEG2,sub-03,occipital_parietal,0.22575444,5.21062042,0.05397019,-394013.67788313,0.08518556,0.11914267
MODEL_A,layer3-10,EEG2,sub-04,occipital_parietal,0.16449605,-20.35361749,0.02301664,-574993.24434176,0.0834177,0.01755504
MODEL_A,layer3-10,EEG2,sub-05,occipital_parietal,0.22836485,-2.41327793,0.01388635,-5307286.05890386,0.1510243,0.15665377
MODEL_A,layer3-10,EEG2,sub-06,occipital_parietal,0.26221345,47.01023921,0.07696786,-132791.64145409,0.10870942,0.15119364
MODEL_A,layer3-10,EEG2,sub-07,occipital_parietal,0.22312116,122.28381066,0.06038818,-112797.90117527,0.14741478,0.19661314
MODEL_A,layer3-10,EEG2,sub-08,occipital_parietal,0.21211063,13.8769358,0.04361783,-334907.67640166,0.10945307,0.13701612
MODEL_A,layer3-10,EEG2,sub-09,occipital_parietal,0.15143703,42.65157088,0.0252201,-393830.73226092,0.18798675,0.08656222
MODEL_A,layer3-10,EEG2,sub-10,occipital_parietal,0.28500129,52.87320826,0.0810056,-271026.45941505,0.09977745,0.15552796
MODEL_A,layer3-15,EEG2,sub-01,occipital_parietal,0.17738376,23.89694362,0.04702279,-644625.97929182,0.03582399,0.00232999
MODEL_A,layer3-15,EEG2,sub-02,occipital_parietal,0.13537638,8.15714246,0.01944818,-277586.2607713,0.10640511,0.07679118
MODEL_A,layer3-15,EEG2,sub-03,occipital_parietal,0.20961879,-10.03805763,0.05208573,-456717.60244679,0.04835302,0.11591998
MODEL_A,layer3-15,EEG2,sub-04,occipital_parietal,0.19283922,-16.9696005,0.04087682,-518461.11403161,0.06207464,0.0190296
MODEL_A,layer3-15,EEG2,sub-05,occipital_parietal,0.22328182,74.11425618,0.05255216,-1055062.96379428,0.12957298,0.15590197
MODEL_A,layer3-15,EEG2,sub-06,occipital_parietal,0.27299108,48.00697631,0.08193854,-125964.32145758,0.11018473,0.16353425
MODEL_A,layer3-15,EEG2,sub-07,occipital_parietal,0.24850581,110.31329924,0.07178802,-259440.10539041,0.13441578,0.19684513
MODEL_A,layer3-15,EEG2,sub-08,occipital_parietal,0.21658731,53.58702621,0.05035509,-307053.97539709,0.09036349,0.14305415
MODEL_A,layer3-15,EEG2,sub-09,occipital_parietal,0.20955697,108.91080609,0.0541223,-27228.14232356,0.1774162,0.09614825
MODEL_A,layer3-15,EEG2,sub-10,occipital_parietal,0.26848171,-14.07352919,0.08198412,-542850.66622432,0.09639271,0.17684323
MODEL_A,layer3-20,EEG2,sub-01,occipital_parietal,0.16813933,-8.05191838,0.04030328,-908004.47983823,0.03627109,0.00177714
MODEL_A,layer3-20,EEG2,sub-02,occipital_parietal,0.15503986,37.16798034,0.02652877,-184159.37345121,0.09116622,0.07300514
MODEL_A,layer3-20,EEG2,sub-03,occipital_parietal,0.21313399,13.24219417,0.04903405,-454951.21661269,0.05708464,0.10448837
MODEL_A,layer3-20,EEG2,sub-04,occipital_parietal,0.20745299,20.44135593,0.04629159,-359744.80476575,0.07289784,0.01663671
MODEL_A,layer3-20,EEG2,sub-05,occipital_parietal,0.24252203,184.06723845,0.06155083,-477177.23417423,0.13024538,0.14285407
MODEL_A,layer3-20,EEG2,sub-06,occipital_parietal,0.29101803,42.96838271,0.08698691,-177934.07201397,0.09029805,0.15708493
MODEL_A,layer3-20,EEG2,sub-07,occipital_parietal,0.23599566,83.03359264,0.06883929,-322134.70311197,0.1445045,0.18805222
MODEL_A,layer3-20,EEG2,sub-08,occipital_parietal,0.22045733,42.71053693,0.05056113,-190605.69058067,0.09929372,0.13933423
MODEL_A,layer3-20,EEG2,sub-09,occipital_parietal,0.20100177,46.69494114,0.0448645,-352303.34355483,0.18688333,0.09414552
MODEL_A,layer3-20,EEG2,sub-10,occipital_parietal,0.32130352,-10.14860897,0.08450694,-2379334.2726951,0.0733993,0.15847547
MODEL_A,layer3-25,EEG2,sub-01,occipital_parietal,0.18784637,14.64011706,0.04536625,-1028035.18920564,0.03651256,0.00283127
MODEL_A,layer3-25,EEG2,sub-02,occipital_parietal,0.15313791,-20.2998823,0.02187998,-672533.08987164,0.07984649,0.07686713
MODEL_A,layer3-25,EEG2,sub-03,occipital_parietal,0.22482652,-9.6973086,0.05442767,-650478.83279383,0.04689485,0.10883177
MODEL_A,layer3-25,EEG2,sub-04,occipital_parietal,0.21388312,23.76916823,0.04114885,-563152.70571818,0.07737248,0.01695872
MODEL_A,layer3-25,EEG2,sub-05,occipital_parietal,0.23618238,109.00605421,0.05902596,-903175.9215359,0.12994903,0.14371235
MODEL_A,layer3-25,EEG2,sub-06,occipital_parietal,0.29479671,81.46247149,0.08931821,-12011.75467811,0.10249229,0.16569403
MODEL_A,layer3-25,EEG2,sub-07,occipital_parietal,0.24652309,84.60165339,0.07168927,-341978.25349257,0.13073252,0.1890794
MODEL_A,layer3-25,EEG2,sub-08,occipital_parietal,0.20601143,53.91428782,0.04064113,-226762.53094294,0.08769997,0.14310257
MODEL_A,layer3-25,EEG2,sub-09,occipital_parietal,0.23256581,84.87090494,0.05833824,-212582.02200117,0.18271484,0.0935263
MODEL_A,layer3-25,EEG2,sub-10,occipital_parietal,0.28926351,-25.15303198,0.09029498,-543625.0712942,0.08494368,0.17121435
MODEL_A,layer3-30,EEG2,sub-01,occipital_parietal,0.20412418,50.74407767,0.05041354,-795429.36012791,0.03219913,0.00353398
MODEL_A,layer3-30,EEG2,sub-02,occipital_parietal,0.15319378,2.94648383,0.02291643,-413134.19275432,0.08198476,0.07689706
MODEL_A,layer3-30,EEG2,sub-03,occipital_parietal,0.21425921,-29.43285716,0.0472139,-590146.85567312,0.05192164,0.10983616
