dataset,model,layer,roi,subject,rsa,cka
NSD,MODEL_A,layer3-10,V2v,subj03,0.15295775413255946,0.1994196352529396
NSD,MODEL_A,layer3-10,V2v,subj04,0.18242779256153452,0.2324420466300413
NSD,MODEL_A,layer3-10,V2v,subj05,0.15406753560431646,0.25663092724862924
NSD,MODEL_A,layer3-10,V2v,subj06,0.1480175081538849,0.21543174113604716
NSD,MODEL_A,layer3-10,V2v,subj07,0.16160389044684698,0.19736511975585383
NSD,MODEL_A,layer3-10,V2v,subj08,0.14896737305044772,0.19925020057506118
NSD,MODEL_A,layer3-10,V3v,subj01,0.19638715183815206,0.2236143458782684
NSD,MODEL_A,layer3-10,V3v,subj02,0.15638984835811498,0.2384414912275765
NSD,MODEL_A,layer3-10,V3v,subj03,0.1150251669229861,0.12493846890015105
NSD,MODEL_A,layer3-10,V3v,subj04,0.13544919915103043,0.15210186750163937
NSD,MODEL_A,layer3-10,V3v,subj05,0.13369048797252,0.2042275388446397
NSD,MODEL_A,layer3-10,V3v,subj06,0.14510924167652933,0.18624385754190256
NSD,MODEL_A,layer3-10,V3v,subj07,0.1372819548073914,0.14737534709352887
NSD,MODEL_A,layer3-10,V3v,subj08,0.10531630011774634,0.13983862261985455
NSD,MODEL_A,layer3-10,hV4,subj01,0.18740218723417287,0.1947195387882107
NSD,MODEL_A,layer3-10,hV4,subj02,0.15367180547228745,0.20877508160427521
NSD,MODEL_A,layer3-10,hV4,subj03,0.11308526679837429,0.11712751912553686
NSD,MODEL_A,layer3-10,hV4,subj04,0.11868328679311271,0.10724953010271267
NSD,MODEL_A,layer3-10,hV4,subj05,0.14559894404635998,0.16970938567092764
