dataset,model,layer,roi,subject,rsa,cka
NSD,MODEL_A,layer3-0,V2v,subj04,0.19432473386492538,0.27189970743791075
NSD,MODEL_A,layer3-0,V2v,subj05,0.21050734794901102,0.34269273421111845
NSD,MODEL_A,layer3-0,V2v,subj06,0.18554800682915149,0.2715363137367559
NSD,MODEL_A,layer3-0,V2v,subj07,0.18728701397977074,0.2313733303770851
NSD,MODEL_A,layer3-0,V2v,subj08,0.18109677791354686,0.2613351401144013
NSD,MODEL_A,layer3-0,V3v,subj01,0.20084266072584744,0.2371362615683317
NSD,MODEL_A,layer3-0,V3v,subj02,0.1823872089055934,0.2503636155460544
NSD,MODEL_A,layer3-0,V3v,subj03,0.11755420215525098,0.15146732835740223
NSD,MODEL_A,layer3-0,V3v,subj04,0.13764192338174652,0.1555129421927157
NSD,MODEL_A,layer3-0,V3v,subj05,0.1541413271543526,0.23506322521459358
NSD,MODEL_A,layer3-0,V3v,subj06,0.1431640205282517,0.1898509659595912
NSD,MODEL_A,layer3-0,V3v,subj07,0.13472052372976556,0.14412025422585356
NSD,MODEL_A,layer3-0,V3v,subj08,0.1172173705036654,0.1726984393368235
NSD,MODEL_A,layer3-0,hV4,subj01,0.19081098033183125,0.20810397372818146
NSD,MODEL_A,layer3-0,hV4,subj02,0.16433702535097786,0.2126766188907889
NSD,MODEL_A,layer3-0,hV4,subj03,0.11365238867530776,0.13749371959804188
NSD,MODEL_A,layer3-0,hV4,subj04,0.11512022528974004,0.10770862974977918
NSD,MODEL_A,layer3-0,hV4,subj05,0.14870797524552598,0.1778017464577364
NSD,MODEL_A,layer3-0,hV4,subj06,0.11693758774616318,0.09704602063489716
NSD,MODEL_A,layer3-0,hV4,subj07,0.12348593460690173,0.1263381103609281
NSD,MODEL_A,layer3-0,hV4,subj08,0.13575214486443268,0.18285965980893173
NSD,MODEL_A,layer3-0,FFA-1,subj01,0.10339495395198517,0.09509234510963274
NSD,MODEL_A,layer3-0,FFA-1,subj02,0.10907075658008959,0.10837692954056143
NSD,MODEL_A,layer3-0,FFA-1,subj03,0.08717132953815564,0.08615905157897474
NSD,MODEL_A,layer3-0,FFA-1,subj04,0.08989334053213499,0.07938083745681364
NSD,MODEL_A,layer3-0,FFA-1,subj05,0.11491454053278387,0.10009077425548386
NSD,MODEL_A,layer3-0,FFA-1,subj06,0.06517372661950059,0.056740608649617184
NSD,MODEL_A,layer3-0,FFA-1,subj07,0.09257730141165679,0.06432508136469814
NSD,MODEL_A,layer3-0,FFA-1,subj08,0.09172373343497688,0.08766787928527567
NSD,MODEL_A,layer3-0,VWFA-1,subj01,0.10682602819394306,0.07287092083206013
NSD,MODEL_A,layer3-0,VWFA-1,subj02,0.08673810893112498,0.09185056763261444
NSD,MODEL_A,layer3-0,VWFA-1,subj03,0.07820503267353791,0.052794688914368774
NSD,MODEL_A,layer3-0,VWFA-1,subj04,0.07230175070172579,0.03251334786485737
NSD,MODEL_A,layer3-0,VWFA-1,subj05,0.12566222095206644,0.09358739762120113
NSD,MODEL_A,layer3-0,VWFA-1,subj06,0.09173354193492037,0.05103977746021737
NSD,MODEL_A,layer3-0,VWFA-1,subj07,0.11124921633343074,0.10158291656838966
NSD,MODEL_A,layer3-0,VWFA-1,subj08,0.05995012720051928,0.03137567850219623
NSD,MODEL_A,layer3-0,PPA,subj01,0.1558560628100913,0.12147071842858169
NSD,MODEL_A,layer3-0,PPA,subj02,0.1715942993074569,0.14780946175759518
NSD,MODEL_A,layer3-0,PPA,subj03,0.13318489987570983,0.11768772964376176
NSD,MODEL_A,layer3-0,PPA,subj04,0.11620655569429511,0.11323632862995892
NSD,MODEL_A,layer3-0,PPA,subj05,0.1641135546011,0.14546789063712776
NSD,MODEL_A,layer3-0,PPA,subj06,0.1419088063730239,0.10995208353603263
