model,layer,dataset,subject,roi,pearson_r,pearson_r_nc,explained_variance,ev_nc,enc_rsa,enc_cka,rsa,cka
MODEL_B,visual-blocks-22,TVSD,monkeyF,IT,0.06493607,0.00663239,-92.04404559,-1.04061061,0.03565599,0.06036233,,
MODEL_B,visual-blocks-22,TVSD,monkeyF,V4,0.09255963,0.00940039,-56.12103794,-0.61774503,0.02810571,0.07385116,,
MODEL_B,visual-blocks-22,TVSD,monkeyF,V1,0.27508961,0.02816856,-0.906541,-0.01021892,0.15989356,0.43005748,,
MODEL_B,visual-blocks-22,TVSD,monkeyN,IT,0.09195281,0.00931869,-65.92929454,-0.73289391,0.03376506,0.08211533,,
MODEL_B,visual-blocks-22,TVSD,monkeyN,V4,0.074455,0.00755321,-68.20636594,-0.74048082,0.0118003,0.03133287,,
MODEL_B,visual-blocks-22,TVSD,monkeyN,V1,0.29849017,0.03018286,-0.57329178,-0.00610969,0.10670603,0.49434409,,
MODEL_A,layer1-0,EEG2,sub-01,occipital_parietal,0.11547244,-66.29315863,0.01757839,-1085969.5862856,0.05937526,0.01303897,,
MODEL_A,layer1-0,EEG2,sub-02,occipital_parietal,0.13281567,45.05357556,0.02021215,-209420.40026123,0.1386734,0.0865435,,
MODEL_A,layer1-0,EEG2,sub-03,occipital_parietal,0.16213834,1.41398114,0.03616455,-522988.62699702,0.243664,0.23460672,,
MODEL_A,layer1-0,EEG2,sub-04,occipital_parietal,0.08008999,-21.60024451,-0.00076246,-279867.12683012,0.03668922,0.01299874,,
MODEL_A,layer1-0,EEG2,sub-05,occipital_parietal,0.1600964,-101.05710267,0.04061611,-1540586.25746952,0.35267243,0.35199749,,
MODEL_A,layer1-0,EEG2,sub-06,occipital_parietal,0.20034685,-13.08767687,0.05573194,-450535.37283215,0.27526746,0.23998464,,
MODEL_A,layer1-0,EEG2,sub-07,occipital_parietal,0.18499594,61.47352379,0.04375074,-452309.27082975,0.26688031,0.30659066,,
MODEL_A,layer1-0,EEG2,sub-08,occipital_parietal,0.13541642,-10.53672891,0.00360345,-723229.60062064,0.2003166,0.17612986,,
MODEL_A,layer1-0,EEG2,sub-09,occipital_parietal,0.13827677,52.79997371,0.02323765,-330802.89191964,0.09958452,0.07435162,,
MODEL_A,layer1-0,EEG2,sub-10,occipital_parietal,0.22760628,20.32131389,0.06444992,-326433.0242681,0.25373922,0.21401414,,
MODEL_A,layer2-0,EEG2,sub-01,occipital_parietal,0.10856909,-71.16581627,-0.00657069,-2405558.0047364,0.05440717,0.01299355,,
MODEL_A,layer2-0,EEG2,sub-02,occipital_parietal,0.14312594,28.10519854,0.01505939,-379183.58445151,0.14565857,0.09123121,,
MODEL_A,layer2-0,EEG2,sub-03,occipital_parietal,0.16324351,-2.97004396,0.02659479,-905144.15411139,0.27133989,0.2437479,,
MODEL_A,layer2-0,EEG2,sub-04,occipital_parietal,0.12763058,-24.96711759,0.00159752,-872792.37897555,-0.00469203,0.02959864,,
MODEL_A,layer2-0,EEG2,sub-05,occipital_parietal,0.19904541,124.7491045,0.0475299,-1307305.56815055,0.36770422,0.36841456,,
MODEL_A,layer2-0,EEG2,sub-06,occipital_parietal,0.14348887,-22.14122433,0.01547626,-883007.06401468,0.30739838,0.25005487,,
MODEL_A,layer2-0,EEG2,sub-07,occipital_parietal,0.17100886,24.24360825,0.02852424,-990801.73759978,0.27454871,0.29114951,,
MODEL_A,layer2-0,EEG2,sub-08,occipital_parietal,0.1606225,9.10876192,0.00606526,-625147.79138784,0.2060392,0.18896687,,
MODEL_A,layer2-0,EEG2,sub-09,occipital_parietal,0.12888842,76.75785606,-0.00298508,-877050.36498223,0.11337423,0.06198531,,
MODEL_A,layer2-0,EEG2,sub-10,occipital_parietal,0.23474342,92.96297172,0.05667376,-272991.31776822,0.27043585,0.21049173,,
MODEL_A,layer3-0,EEG2,sub-01,occipital_parietal,0.16624993,49.00015361,0.0311447,-1213860.39964737,0.05763033,0.01258882,,
MODEL_A,layer3-0,EEG2,sub-02,occipital_parietal,0.13916072,24.36239566,-0.03889086,-1174247.69511932,0.20598179,0.11265048,,
MODEL_A,layer3-0,EEG2,sub-03,occipital_parietal,0.21185895,-56.85318643,0.00023762,-2265002.86494747,0.38494629,0.28537392,,
MODEL_A,layer3-0,EEG2,sub-04,occipital_parietal,0.14386548,-29.98023498,0.00879064,-826405.04799132,-0.01915023,0.03041917,,
MODEL_A,layer3-0,EEG2,sub-05,occipital_parietal,0.22929069,45.50633033,0.00959016,-5164661.50092221,0.40986283,0.39472821,,
MODEL_A,layer3-0,EEG2,sub-06,occipital_parietal,0.29094423,60.84229306,0.0653971,-1086778.31468625,0.40467707,0.34262569,,
MODEL_A,layer3-0,EEG2,sub-07,occipital_parietal,0.24769791,142.55080967,0.04510071,-2026450.40104628,0.46089161,0.48142215,,
MODEL_A,layer3-0,EEG2,sub-08,occipital_parietal,0.21521955,27.48597005,-0.03402475,-1786911.03815177,0.29711341,0.23424325,,
MODEL_A,layer3-0,EEG2,sub-09,occipital_parietal,0.18915551,86.65296357,-0.00922189,-2095310.0180021,0.24860609,0.11758003,,
MODEL_A,layer3-0,EEG2,sub-10,occipital_parietal,0.31413514,95.949537,0.08337059,-1152252.29918725,0.40612351,0.291811,,
MODEL_A,layer3-5,EEG2,sub-01,occipital_parietal,0.17997516,55.51897038,0.04367623,-629308.08450053,0.06773482,0.01441341,,
MODEL_A,layer3-5,EEG2,sub-02,occipital_parietal,0.12960857,17.12033331,0.01655863,-180861.41945569,0.17564827,0.09014555,,
MODEL_A,layer3-5,EEG2,sub-03,occipital_parietal,0.24769094,-16.10880168,0.04131226,-1758384.53871335,0.38057063,0.30281501,,
MODEL_A,layer3-5,EEG2,sub-04,occipital_parietal,0.16877601,-10.56676741,0.02237438,-564447.32339691,0.00735586,0.02940451,,
MODEL_A,layer3-5,EEG2,sub-05,occipital_parietal,0.23308947,68.33103191,0.03404194,-4087199.11347804,0.40977262,0.41072199,,
